name;value
BE;BE
Commercial;Commercial
CSR & ER/PR;CSR & ER/PR
E&I Maintenance;E&I Maintenance
Finance & Account;Finance & Account
HSE;HSE
HR, Admin;HR, Admin
IT;IT
Mechanical Maintenance;Mechanical Maintenance
Production;Production
Projects;Projects
Quality & Process Control;Quality & Process Control
Raw Material;Raw Material
Refractory;Refractory
Sales & Marketing;Sales & Marketing
Security;Security
Supply Chain & Dispatch;Supply Chain & Dispatch
